Offset,sMeanPktSz,sTtl,sHops,TcpRtt,State,AckDat,SynAck,Proto,SrcBytes,TotBytes,SrcRate,Max,Load,Dur,SrcLoad,Rate,RunTime,Cause,Min,is_attack,Label,split
24664704,42.0,63.0,1.0,0.0,6,0.0,0.0,4,42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,Benign,train
21239868,42.0,63.0,1.0,0.0,6,0.0,0.0,4,42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,Benign,test
30190312,42.0,63.0,1.0,0.0,6,0.0,0.0,4,84,84,0.388635,2.573107,130.581436,2.573107,130.581436,0.388635,2.573107,2,2.573107,0,Benign,train
27044820,42.0,63.0,1.0,0.0,6,0.0,0.0,4,42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,Benign,test
5043816,74.0,249.0,7.0,0.0,4,0.0,0.0,4,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,test
35653604,42.0,63.0,1.0,0.0,6,0.0,0.0,4,84,84,0.388121,2.576519,130.408508,2.576519,130.408508,0.388121,2.576519,2,2.576519,0,Benign,train
29984024,42.0,63.0,1.0,0.0,6,0.0,0.0,4,84,84,0.388938,2.571106,130.68306,2.571106,130.68306,0.388938,2.571106,2,2.571106,0,Benign,validation
35347884,42.0,63.0,1.0,0.0,6,0.0,0.0,4,84,84,0.38786,2.578252,130.320847,2.578252,130.320847,0.38786,2.578252,2,2.578252,0,Benign,validation
2990240,74.0,249.0,7.0,0.0,4,0.0,0.0,4,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,train
20265068,42.0,63.0,1.0,0.0,6,0.0,0.0,4,42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,Benign,test
16957124,42.0,63.0,1.0,0.0,4,0.0,0.0,4,42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,train
32399888,42.0,63.0,1.0,0.0,6,0.0,0.0,4,42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,Benign,train
25781000,42.0,63.0,1.0,0.0,4,0.0,0.0,4,84,84,0.389199,2.569379,130.770889,2.569379,130.770889,0.389199,2.569379,1,2.569379,0,Benign,train
38826732,42.0,63.0,1.0,0.0,6,0.0,0.0,4,42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,Benign,validation
15883636,1355.760254,117.0,11.0,0.0,1,0.0,0.0,4,265729,269477,39.020714,4.997346,428795.625,4.997346,423223.0625,41.822201,4.997346,2,4.997346,0,Benign,train
19419196,42.0,63.0,1.0,0.0,4,0.0,0.0,4,42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,validation
36343652,42.0,63.0,1.0,0.0,6,0.0,0.0,4,84,84,0.387959,2.577593,130.354172,2.577593,130.354172,0.387959,2.577593,2,2.577593,0,Benign,test
16771124,42.0,63.0,1.0,0.0,4,0.0,0.0,4,84,84,0.355862,2.810081,119.569504,2.810081,119.569504,0.355862,2.810081,1,2.810081,0,Benign,train
25223992,42.0,63.0,1.0,0.0,6,0.0,0.0,4,42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,Benign,train
24175688,42.0,63.0,1.0,0.0,6,0.0,0.0,4,84,84,0.387861,2.578246,130.321152,2.578246,130.321152,0.387861,2.578246,2,2.578246,0,Benign,train
1473532,98.0,58.0,6.0,0.0,2,0.0,0.0,0,98,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,validation
1724824,60.0,255.0,1.0,0.0,4,0.0,0.0,4,60,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,test
29280388,42.0,63.0,1.0,0.0,6,0.0,0.0,4,84,84,0.387928,2.577796,130.343903,2.577796,130.343903,0.387928,2.577796,2,2.577796,0,Benign,train
5944248,74.0,249.0,7.0,0.0,4,0.0,0.0,4,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,train
19571804,42.0,63.0,1.0,0.0,4,0.0,0.0,4,42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,validation
38228188,42.0,63.0,1.0,0.0,6,0.0,0.0,4,42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,Benign,train
31527672,42.0,63.0,1.0,0.0,6,0.0,0.0,4,42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,Benign,train
581460,1347.568604,117.0,11.0,0.0,1,0.0,0.0,4,206178,211196,30.43218,4.994713,335764.6563,4.994713,328076.5313,35.037048,4.994713,2,4.994713,0,Benign,test
1247008,74.0,249.0,7.0,0.0,4,0.0,0.0,4,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,train
18217332,42.0,63.0,1.0,0.0,4,0.0,0.0,4,42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,train
17356732,74.0,249.0,7.0,0.0,4,0.0,0.0,4,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,train
1104844,74.0,249.0,7.0,0.0,4,0.0,0.0,4,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,test
16720564,74.0,249.0,7.0,0.0,4,0.0,0.0,4,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,train
4369580,74.0,249.0,7.0,0.0,4,0.0,0.0,4,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,test
587928,98.0,58.0,6.0,0.0,2,0.0,0.0,0,98,196,0.0,0.07422,0.0,0.07422,0.0,13.473457,0.07422,1,0.07422,0,Benign,validation
1396888,74.0,249.0,7.0,0.0,4,0.0,0.0,4,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,train
25100288,42.0,63.0,1.0,0.0,6,0.0,0.0,4,42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,Benign,train
74928,1289.434814,47.0,17.0,0.0,1,0.0,0.0,4,59314,60998,9.000142,4.999921,95151.90625,4.999921,92841.46875,10.400165,4.999921,2,4.999921,0,Benign,validation
32742736,42.0,63.0,1.0,0.0,6,0.0,0.0,4,42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,Benign,validation
35106772,42.0,63.0,1.0,0.0,6,0.0,0.0,4,42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,Benign,train
1171896,74.0,249.0,7.0,0.0,4,0.0,0.0,4,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,test
29075768,42.0,63.0,1.0,0.0,6,0.0,0.0,4,42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,Benign,train
21971068,42.0,63.0,1.0,0.0,6,0.0,0.0,4,84,84,0.38755,2.580312,130.216812,2.580312,130.216812,0.38755,2.580312,2,2.580312,0,Benign,validation
16012212,42.0,63.0,1.0,0.0,4,0.0,0.0,4,42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,train
39222928,1337.715576,117.0,11.0,0.0,1,0.0,0.0,4,145811,150113,22.058102,4.89616,242652.1875,4.89616,236060.9063,25.32597,4.89616,2,4.89616,0,Benign,train
2310272,60.0,255.0,1.0,0.0,4,0.0,0.0,4,60,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,train
21866476,42.0,63.0,1.0,0.0,6,0.0,0.0,4,42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,Benign,train
1775692,1089.0,64.0,0.0,0.0,4,0.0,0.0,4,7623,7623,1.39756,4.293197,12175.54102,4.293197,12175.54102,1.39756,4.293197,1,4.293197,0,Benign,validation
834788,74.0,249.0,7.0,0.0,4,0.0,0.0,4,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,validation
25840824,42.0,63.0,1.0,0.0,6,0.0,0.0,4,84,84,0.388934,2.571129,130.681885,2.571129,130.681885,0.388934,2.571129,2,2.571129,0,Benign,test
18599260,42.0,63.0,1.0,0.0,4,0.0,0.0,4,42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,train
5511008,74.0,249.0,7.0,0.0,4,0.0,0.0,4,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,train
19851716,42.0,63.0,1.0,0.0,4,0.0,0.0,4,84,84,0.385478,2.59418,129.520691,2.59418,129.520691,0.385478,2.59418,1,2.59418,0,Benign,train
17827560,42.0,63.0,1.0,0.0,4,0.0,0.0,4,42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,train
37616492,42.0,63.0,1.0,0.0,6,0.0,0.0,4,42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,Benign,test
17948908,74.0,249.0,7.0,0.0,4,0.0,0.0,4,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,train
1171976,74.0,249.0,7.0,0.0,4,0.0,0.0,4,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,test
62684,64.0,249.0,7.0,0.0,4,0.0,0.0,4,64,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,train
17266300,42.0,63.0,1.0,0.0,4,0.0,0.0,4,42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,train
423728,1354.659668,117.0,11.0,0.0,1,0.0,0.0,4,322409,327367,47.4119,4.998745,521257.25,4.998745,513816.9688,50.612705,4.998745,2,4.998745,0,Benign,validation
21841116,42.0,63.0,1.0,0.0,4,0.0,0.0,4,84,84,0.387742,2.579035,130.281281,2.579035,130.281281,0.387742,2.579035,1,2.579035,0,Benign,test
24428856,42.0,63.0,1.0,0.0,6,0.0,0.0,4,84,84,0.387917,2.577868,130.340271,2.577868,130.340271,0.387917,2.577868,2,2.577868,0,Benign,train
32186388,42.0,63.0,1.0,0.0,6,0.0,0.0,4,84,84,0.388793,2.572064,130.634384,2.572064,130.634384,0.388793,2.572064,2,2.572064,0,Benign,train
1370792,74.0,249.0,7.0,0.0,4,0.0,0.0,4,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,train
29519648,42.0,63.0,1.0,0.0,6,0.0,0.0,4,84,84,0.387762,2.578903,130.287964,2.578903,130.287964,0.387762,2.578903,2,2.578903,0,Benign,test
19103168,42.0,63.0,1.0,0.0,4,0.0,0.0,4,42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,validation
26801156,42.0,63.0,1.0,0.0,6,0.0,0.0,4,42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,Benign,validation
32712576,42.0,63.0,1.0,0.0,6,0.0,0.0,4,84,84,0.387461,2.580906,130.186844,2.580906,130.186844,0.387461,2.580906,2,2.580906,0,Benign,test
15947924,98.0,58.0,6.0,0.0,2,0.0,0.0,0,98,196,0.0,0.041272,0.0,0.041272,0.0,24.229502,0.041272,1,0.041272,0,Benign,test
1816508,74.0,249.0,7.0,0.0,4,0.0,0.0,4,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,train
2086880,74.0,249.0,7.0,0.0,4,0.0,0.0,4,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,train
4637216,74.0,249.0,7.0,0.0,4,0.0,0.0,4,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,train
45776,1236.736084,117.0,11.0,0.0,1,0.0,0.0,4,178090,182195,28.603483,4.999391,288631.9375,4.999391,283000.875,30.003654,4.999391,2,4.999391,0,Benign,validation
31231288,42.0,63.0,1.0,0.0,6,0.0,0.0,4,42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,Benign,validation
1373852,74.0,249.0,7.0,0.0,4,0.0,0.0,4,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,test
31699216,42.0,63.0,1.0,0.0,6,0.0,0.0,4,42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,Benign,test
8565244,74.0,52.0,12.0,0.0,8,0.0,0.0,3,222,384,0.659253,3.033737,675.075012,3.033737,390.27774,1.648132,3.033737,1,3.033737,0,Benign,train
2442384,74.0,249.0,7.0,0.0,4,0.0,0.0,4,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,validation
19172200,42.0,63.0,1.0,0.0,4,0.0,0.0,4,84,84,0.386126,2.589831,129.73819,2.589831,129.73819,0.386126,2.589831,1,2.589831,0,Benign,train
17683636,74.0,249.0,7.0,0.0,4,0.0,0.0,4,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,validation
852612,74.0,64.0,0.0,0.0,6,0.0,0.0,3,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,Benign,train
1596524,74.0,249.0,7.0,0.0,4,0.0,0.0,4,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,train
19458388,42.0,63.0,1.0,0.0,4,0.0,0.0,4,84,84,0.387995,2.577351,130.366409,2.577351,130.366409,0.387995,2.577351,1,2.577351,0,Benign,validation
17826952,74.0,249.0,7.0,0.0,4,0.0,0.0,4,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,train
34008,1160.612915,117.0,11.0,0.0,1,0.0,0.0,4,71958,72401,12.21001,4.995901,113902.9766,4.995901,113369.7344,13.010666,4.995901,2,4.995901,0,Benign,train
36266476,42.0,63.0,1.0,0.0,6,0.0,0.0,4,42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,Benign,train
37932972,42.0,63.0,1.0,0.0,6,0.0,0.0,4,42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,Benign,validation
35555980,42.0,63.0,1.0,0.0,6,0.0,0.0,4,42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,Benign,train
17961364,42.0,63.0,1.0,0.0,4,0.0,0.0,4,42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,train
16625436,42.0,63.0,1.0,0.0,4,0.0,0.0,4,42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,train
32283392,42.0,63.0,1.0,0.0,6,0.0,0.0,4,42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,Benign,test
23218244,42.0,63.0,1.0,0.0,6,0.0,0.0,4,42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,Benign,train
26287988,42.0,63.0,1.0,0.0,6,0.0,0.0,4,84,84,0.389806,2.565381,130.974701,2.565381,130.974701,0.389806,2.565381,2,2.565381,0,Benign,train
27743560,42.0,63.0,1.0,0.0,6,0.0,0.0,4,42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,Benign,train
24154248,42.0,63.0,1.0,0.0,6,0.0,0.0,4,42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,Benign,train
3658820,74.0,249.0,7.0,0.0,4,0.0,0.0,4,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,train
3309088,74.0,249.0,7.0,0.0,4,0.0,0.0,4,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,train
33178400,42.0,63.0,1.0,0.0,6,0.0,0.0,4,42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,Benign,test
37159052,42.0,63.0,1.0,0.0,6,0.0,0.0,4,84,84,0.388346,2.575022,130.484329,2.575022,130.484329,0.388346,2.575022,2,2.575022,0,Benign,train
21457156,42.0,63.0,1.0,0.0,6,0.0,0.0,4,84,84,0.386405,2.587957,129.832153,2.587957,129.832153,0.386405,2.587957,2,2.587957,0,Benign,test
17483020,42.0,63.0,1.0,0.0,4,0.0,0.0,4,84,84,0.363642,2.749959,122.18364,2.749959,122.18364,0.363642,2.749959,1,2.749959,0,Benign,train
2026512,74.0,249.0,7.0,0.0,4,0.0,0.0,4,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,train
17978140,98.0,58.0,6.0,0.0,2,0.0,0.0,0,98,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,train
16681776,74.0,249.0,7.0,0.0,4,0.0,0.0,4,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,test
13690080,74.0,249.0,7.0,0.0,4,0.0,0.0,4,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,train
16905828,42.0,63.0,1.0,0.0,4,0.0,0.0,4,84,84,0.356874,2.802111,119.909599,2.802111,119.909599,0.356874,2.802111,1,2.802111,0,Benign,train
29975344,42.0,63.0,1.0,0.0,6,0.0,0.0,4,42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,Benign,train
246756,98.0,58.0,6.0,0.0,2,0.0,0.0,0,98,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,test
16298492,42.0,63.0,1.0,0.0,4,0.0,0.0,4,84,84,0.351965,2.841194,118.260147,2.841194,118.260147,0.351965,2.841194,1,2.841194,0,Benign,train
23915336,42.0,63.0,1.0,0.0,4,0.0,0.0,4,84,84,0.38876,2.572283,130.62326,2.572283,130.62326,0.38876,2.572283,1,2.572283,0,Benign,train
36790388,42.0,63.0,1.0,0.0,6,0.0,0.0,4,84,84,0.388746,2.572371,130.61879,2.572371,130.61879,0.388746,2.572371,2,2.572371,0,Benign,train
18223940,42.0,63.0,1.0,0.0,4,0.0,0.0,4,42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,train
12792,74.0,249.0,7.0,0.0,4,0.0,0.0,4,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,train
21329372,42.0,63.0,1.0,0.0,6,0.0,0.0,4,84,84,0.385678,2.592834,129.587936,2.592834,129.587936,0.385678,2.592834,2,2.592834,0,Benign,train
16020308,42.0,63.0,1.0,0.0,4,0.0,0.0,4,84,84,0.350042,2.856801,117.614075,2.856801,117.614075,0.350042,2.856801,1,2.856801,0,Benign,train
2093932,631.333313,64.0,0.0,0.0,1,0.0,0.0,4,1894,107103,0.405649,4.930368,170705.3125,4.930368,2049.339844,17.240093,4.930368,2,4.930368,0,Benign,train
29595648,42.0,63.0,1.0,0.0,4,0.0,0.0,4,84,84,0.388028,2.577131,130.377533,2.577131,130.377533,0.388028,2.577131,1,2.577131,0,Benign,train
26427484,42.0,63.0,1.0,0.0,6,0.0,0.0,4,42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,Benign,train
2238468,74.0,249.0,7.0,0.0,4,0.0,0.0,4,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,validation
16044284,1029.555542,64.0,0.0,0.0,4,0.0,0.0,4,9266,9266,1.991548,4.016976,16404.38086,4.016976,16404.38086,1.991548,4.016976,1,4.016976,0,Benign,train
857280,835.400024,64.0,0.0,0.0,1,0.0,0.0,4,4177,6095,60.695263,0.065903,580368.125,0.065903,405687.1563,121.390526,0.065903,1,0.065903,0,Benign,validation
38214028,42.0,63.0,1.0,0.0,6,0.0,0.0,4,42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,Benign,validation
26059148,42.0,63.0,1.0,0.0,6,0.0,0.0,4,42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,Benign,train
26508132,42.0,63.0,1.0,0.0,6,0.0,0.0,4,84,84,0.389258,2.568992,130.790604,2.568992,130.790604,0.389258,2.568992,2,2.568992,0,Benign,train
20768676,42.0,63.0,1.0,0.0,6,0.0,0.0,4,84,84,0.386139,2.58974,129.742752,2.58974,129.742752,0.386139,2.58974,2,2.58974,0,Benign,validation
2969792,74.0,249.0,7.0,0.0,4,0.0,0.0,4,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,test
20275724,42.0,63.0,1.0,0.0,6,0.0,0.0,4,42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,Benign,train
1106436,74.0,249.0,7.0,0.0,4,0.0,0.0,4,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,validation
104640,98.0,58.0,6.0,0.0,2,0.0,0.0,0,98,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,test
32045904,42.0,63.0,1.0,0.0,6,0.0,0.0,4,84,84,0.387893,2.578031,130.332016,2.578031,130.332016,0.387893,2.578031,2,2.578031,0,Benign,test
23489360,42.0,63.0,1.0,0.0,6,0.0,0.0,4,84,84,0.387695,2.579345,130.265625,2.579345,130.265625,0.387695,2.579345,2,2.579345,0,Benign,test
20757852,42.0,63.0,1.0,0.0,6,0.0,0.0,4,84,84,0.386649,2.586323,129.914169,2.586323,129.914169,0.386649,2.586323,2,2.586323,0,Benign,train
1362976,574.0,64.0,0.0,0.0,1,0.0,0.0,4,4018,7130,48.040356,0.124895,370102.875,0.124895,220601.3125,80.067261,0.124895,1,0.124895,0,Benign,train
28958456,42.0,63.0,1.0,0.0,6,0.0,0.0,4,42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,Benign,train
475152,606.0,64.0,0.0,0.050153,1,0.028896,0.021257,3,606,606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,Benign,train
37313116,42.0,63.0,1.0,0.0,6,0.0,0.0,4,84,84,0.38832,2.575196,130.47551,2.575196,130.47551,0.38832,2.575196,2,2.575196,0,Benign,test
16804276,42.0,63.0,1.0,0.0,4,0.0,0.0,4,42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,train
16206424,74.0,249.0,7.0,0.0,4,0.0,0.0,4,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,train
